Tajuk Perolehan,Kategori Perolehan,Kementerian,Agensi,Nama Syarikat,Nilai Perolehan,Kriteria Rundingan Terus,Tarikh
"PERMOHONAN KELULUSAN BAGI PEROLEHAN MENCETAK, MEMBEKAL DAN MENGHANTAR SETEM HASIL DENGAN PERCETAKAN KESELAMATAN NASIONAL SDN BHD SECARA RUNDINGAN TERUS",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),PERCETAKAN KESELAMATAN NASIONAL SDN. BHD.,2911400.00,"Keperluan Mendesak, Kepakaran, Penyeragaman",18/09/2013
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI KHIDMAT KONSULTAN BAGI KURSUS PEMBENTUKAN KARAKTER MELALUI PENGHAYATAN NILAI-NILAI MURNI KEPADA PEGAWAI KUMPULAN PENGURUSAN DAN PROFESIONAL SERTA KUMPULAN SOKONGAN, KEMENTERIAN DALAM NEGERI SERTA JABATAN/AGENSI DI BAWAHNYA",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN DALAM NEGERI,,ESQ LEADERSHIP CENTER SDN. BHD.,1250000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),06/09/2013
PERMOHONAN KELULUSAN UNTUK MELAKSANAKAN PEROLEHAN SECARA RUNDINGAN TERUS DENGAN TIGA (3) HOTEL BAGI PERKHIDMATAN PAKEJ PENGINAPAN TERMASUK MAKAN DAN MINUM KEPADA PESERTA KEJOHANAN SUKAN PRESTASI TINGGI SEKOLAH (SPTS) PERINGKAT KEBANGSAAN KALI KE-3 TAHUN 2013 DI NEGERI KEDAH,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,JABATAN PENDIDIKAN NEGERI KEDAH,"GRAND CENTRAL ENTERPRISES BHD., PKNK HOTELS SDN BHD, SETAR PROJEK (M) SDN.BHD.",444520.00,Keperluan Mendesak,06/09/2013
PERMOHONAN KELULUSAN BAGI MELANTIK SYARIKAT DEWANSITE COMPUTER SOLUTIONS SDN. BHD. UNTUK MELAKSANAKAN PENAMBAHBAIKAN MODUL CARUMAN DI MYEPF (I-AKAUN) SECARA RUNDINGAN TERUS UNTUK TEMPOH 6 BULAN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),DEWANSITE COMPUTER SOLUTIONS SDN. BHD.,570000.00,Penyeragaman,04/09/2013
PELANTIKAN GLOBAL ENTREPRENEURSHIP SDN. BHD. SEBAGAI PENGENDALI KURSUS BAGI PROGRAM 1MALAYSIA ENTREPRENEURS (IMET) BOOT CAMPS,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,,GLOBAL ENTREPRENEURSHIP SDN BHD,998000.00,Kepakaran,30/08/2013
PERMOHONAN KELULUSAN BAGI PEROLEHAN ALAT-ALAT ORTHOTIK ONE STOP CENTRE PERTUBUHAN KESELAMATAN SOSIAL DENGAN PHARMANIAGA LOGISTICS SDN BHD SECARA RUNDINGAN TERUS,BEKALAN,KEMENTERIAN SUMBER MANUSIA,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),PHARMANIAGA LOGISTICS SDN. BHD.,12012182.80,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",30/08/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS UNTUK MELANTIK SYARIKAT THE NEW STRAITS TIMES (MALAYSIA) BERHAD BAGI MELAKSANAKAN PROGRAM MEDIA PELAN PROMOSI PRODUK PENYELIDIKAN DAN PMBANGUNAN (R&D) INSTITUSI PENGAJIAN TINGGI AWAM (IPTA) SECARA ONE-OFF,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,,THE NEW STRAITS TIMES PRESS (MALAYSIA) BHD,200000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Kepakaran",23/08/2013
PERMOHONAN MELANTIK SALT MEDIA CONSULTANCY SDN. BHD. SECARA RUNDINGAN TERUS BAGI MELAKSANAKAN PENJENAMAAN DAN PROMOSI TRANSFORMASI JABATAN PERKHIDMATAN AWAM,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERKHIDMATAN AWAM,SALT MEDIA CONSULTANCY SDN. BHD.,138450.00,Kepakaran,22/08/2013
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI PEROLEHAN PERALATAN PENGUJIAN KESELAMATAN UNTUK MAKMAL KAD PINTAR UNTUK CYBERSECURITY MALAYSIA,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",MALAYSIAN CYBER SECURITY AGENCY,QOLEK CORPORATION (M) SDN. BHD.,472000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),21/08/2013
PERMOHONAN RUNDINGAN TERUS BAGI TAWARAN UNIVERSITY-INDUSTRY MRI RESEARCH COLLABORATION INCLUSIVE OF RESEARCH FACILITY AND 3T MRI MACHINE,BEKALAN,KEMENTERIAN PENDIDIKAN TINGGI,UNIVERSITI MALAYA,ALAM MEDIK SDN. BHD.,11800000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman, Kepakaran, Keperluan Mendesak",06/08/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN KAWALAN KESELAMATAN OLEH SYARIKAT AE SECURITY SYSTEM SDN BHD,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",,AE SECURITY SYSTEM SDN. BHD.,182518.20,Keperluan Mendesak,02/08/2013
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI PELANTIKAN MALAYSIAN SOFTWARE TESTING BOARD (MSTB) UNTUK MELAKSANAKAN PROGRAM DANA PENGUJIAN PERISIAN BAGI SEKTOR AWAM DI BAWAH PROJEK MALAYSIA SOFTWARE TESTING HUB (MSTH) UNTUK TEMPOH 1 TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",JABATAN STANDARD MALAYSIA,MALAYSIAN SOFTWARE TESTING BOARD,5000000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),02/08/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN KERJA-KERJA OPERASI DAN SELENGGARA DI KEDIAMAN RUMAH RASMI KETUA HAKIM NEGARA (JANUARI - MAC 2013),PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,MAHKAMAH PERSEKUTUAN MALAYSIA,JASAKON SDN. BHD.,99000.00,Penyeragaman,01/08/2013
PERMOHONAN KELULUSAN MELANTIK SYARIKAT VENTURE NUCLEUS (M) SDN BHD BAGI PERKHIDMATAN PENAMBAHBAIKAN UNTUK ACCESS CARD AND TIME ATTENDANCE SYSTEM (ACTAS) SECARA RUNDINGAN TERUS,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),VENTURE NUCLEUS (M) SDN. BHD.,74000.00,Penyeragaman,31/07/2013
PEROLEHAN SECARA RUNDINGAN TERUS BAGI MENYAMBUNG LANGGANAN PERKHIDMATAN BAHAN BERITA DARIPADA THOMSON REUTERS MALAYSIA SDN BHD BAGI TEMPOH TIGA (3) TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,JABATAN PENYIARAN MALAYSIA,THOMSON REUTERS MALAYSIA SDN BHD,3656972.50,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),30/07/2013
PERMOHONAN UNTUK MEMBUAT RUNDINGAN TERUS UNTUK MENAIKTARAF TREK SINTETIK DAN PADANG STADIUM UNIVERSITI KEBANGSAAN MALAYSIA MENGGUNAKAN KOD PERUNTUKAN PKP4-AKAUN KHAS NAIK TARAF STADIUM UNIVERSITI BAGI TEMPOH DUA BULAN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,UNIVERSITI KEBANGSAAN MALAYSIA (UKM),TALENTTWO (M) SDN. BHD.,2590000.00,Keperluan Mendesak,19/07/2013
"PERMOHONAN UNTUK MELAKSANAKAN PEROLEHAN MEMBEKAL TIGA (3) UNIT MESIN MENANAM PADI JENIS MENUNGGANG DAN MENANAM BERBARIS 6 KE BAHAGIAN KEJURUTERAAN PERTANIAN, JABATAN PERTANIAN, JABATAN PERTANIAN SERDANG SECARA RUNDINGAN TERUS",BEKALAN,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,JABATAN PERTANIAN MALAYSIA,MINDA AGRIMACHINERY SDN BHD,144000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),07/07/2013
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI MENAIKTARAF, MENGUJI DAN MENTAULIAH SATU (1) UNIT MESIN MAGNETIC RESONANCE IMAGING SYSTEM (MRI) JENAMA SIEMENS MODEL MAGNETOM SYMPHONY DI JABATAN PENGIMEJAN DIAGNOSTIK HOPITAL KUALA LUMPUR DENGAN SYARIKAT SIEMENS (M) SDN. BHD.",BEKALAN,KEMENTERIAN KESIHATAN,,SIEMENS MALAYSIA SDN. BHD.,190000.00,"Kepakaran, Penyeragaman, Keperluan Mendesak",05/07/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI KERJA PENYELENGGARAAN SISTEM STANDARD ACCOUNTING FOR GOVERNMENT AGENCIES  DI LEMBAGA KEMAJUAN PERTANIAN MUDA,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA KEMAJUAN PERTANIAN MUDA (MADA),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,588000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",23/06/2013
PERMOHONAN KELULUSAN KEMENTERIAN KEWANGAN BAGI MELAKSANAKAN PROGRAM LATIHAN KEMAHIRAN BERFIKIR ARAS TINGGI (KBAT) KEPADA GURU MATEMATIK DAN SAINS BAGI TAHUN 2013 SECARA RUNDINGAN TERUS,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PENDIDIKAN GURU,REGIONAL CENTRE FOR EDUCATION IN SCIENCE AND MATHEMATICS,1100000.00,Kepakaran,20/06/2013
PERMOHONAN KELULUSAN PELANTIKAN SYARIKAT PRESTARIANG SYSTEM SDN. BHD. UNTUK MENGENDALIKAN COMPTIA A+ DAN N+ DI CIAST,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,JABATAN PEMBANGUNAN KEMAHIRAN,PRESTARIANG SYSTEMS SDN. BHD.,100000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),19/06/2013
PERMOHONAN KELULUSAN PEROLEHAN PERKHIDMATAN PENGURUSAN SEKURITI CONTENT FILTERING,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN AUDIT NEGARA,GITN SDN. BERHAD,478800.00,Penyeragaman,19/06/2013
"PEROLEHAN PERKHIDMATAN PENYELENGGARAAN APLIKASI DAN PERKAKASAN ""KNOWLEDGE MANAGEMENT SYSTEM"" DENGAN KNOWLEDGE LINK SDN BHD BAGI TEMPOH 3 TAHUN",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),KNOWLEDGE LINK SDN. BHD.,264000.00,Penyeragaman,14/06/2013
PERMOHONAN PEROLEHAN PERKHIDMATAN PEMBANGUNAN DAN PELAKSANAAN SISTEM PEMPROFAILAN PEMBAYARAN CUKAI 360-DEGREE DI LEMBAGA HASIL DALAM NEGERI MALAYSIA SECARA RUNDINGAN TERUS DENGAN PRISMA KHAS SDN. BHD. UNTUK TEMPOH 3 TAHUN 11 BULAN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),PRISMA KHAS SDN. BHD.,3500000.00,Penyeragaman,13/06/2013
PERMOHONAN PEROLEHAN PERKHIDMATAN PEMBANGUNAN DAN PELAKSANAAN SISTEM PEMPROFAILAN PEMBAYAR CUKAI 360-DEGREE DI LEMBAGA HASIL DALAM NEGERI MALAYSIA SECARA RUNDINGAN TERUS DENGAN PRISMA KHAS SDN. BHD. UNTUK TEMPOH 3 TAHUN 11 BULAN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),PRISMA KHAS SDN. BHD.,3500000.00,Penyeragaman,13/06/2013
MEMOHON KELULUSAN PEROLEHAN CENDERAHATI BERBENTUK JAM TANGAN PESARA WARGA JABATAN KASTAM DIRAJA MALAYSIA UNTUK TAHUN 2013 (PEMBEKALAN ONE OFF),BEKALAN,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,BINTANG EKUITI SDN. BHD.,82460.00,Keperluan Mendesak,12/06/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI MELAKSANAKAN KERJA-KERJA PENAMBAHBAIKAN APLIKASI SISTEM PORTAL E-NELAYAN SELARAS DENGAN PENINGKATAN PERISIAN-PERISIAN SERVER DARI TEKNOLOGI 32BIT KEPADA 64BIT DENGAN EBI RESOURCES SDN BHD.,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA KEMAJUAN IKAN MALAYSIA (LKIM),EBI RESOURCES SDN. BHD.,300000.00,Penyeragaman,05/06/2013
KERJA-KERJA MENAIK TARAF GELANGGANG TENIS DI KOMPLEKS SUKAN NEGERI PERLIS (REKA DAN BINA),KERJA,PENTADBIRAN KERAJAAN NEGERI PERLIS,JABATAN KERJA RAYA NEGERI PERLIS,PADANG BOHOR JAYA SDN.BHD.,1990000.00,Keperluan Mendesak,28/05/2013
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN UNIVERSITI MALAYSIA SABAH (UMS) SEMPENA PROGRAM PERTANDINGAN DEBAT PERPADUAN JPNIN TAHUN 2013 SECARA RUNDINGAN TERUS,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERPADUAN NEGARA DAN INTEGRASI NASIONAL,UNIVERSITI MALAYSIA SABAH,95915.00,Keperluan Mendesak,27/05/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEMBELIAN I2 ANALYST NOTEBOOK UNTUK KPDNKK,BEKALAN,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",BAHAGIAN PENGUATKUASA,PRISMA KHAS SDN. BHD.,64500.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),22/05/2013
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENYELENGGARAAN PERALATAN DAN TERMINAL GOVERNMENT INTEGRATED RADIO NETWORK (GIRN)KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN (KPDNKK) DENGAN SAPURA RESEARCH SDN. BHD.",PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",BAHAGIAN PENGUATKUASA,SAPURA RESEARCH SDN. BHD.,406334.00,SATU PUNCA (PERKHIDMATAN),22/05/2013
PERMOHONAN RUNDINGAN TERUS BAGI PERKHIDMATAN INTERPRETASI SERENTAK PERSIDANGAN GLOBAL SUMMIT OF WOMEN 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PEMBANGUNAN WANITA, KELUARGA DAN MASYARAKAT",,INSTITUT TERJEMAHAN NEGARA MALAYSIA BERHAD,290250.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),13/05/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI CADANGAN MENAIK TARAF SISTEM AUDIO DAN VISUAL DI BILIK MESYUARAT JEMAAH MENTERI,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,,IRIS CORPORATION BERHAD,1476650.00,Keperluan Mendesak,10/05/2013
PERMOHONAN CADANGAN PROJEK PENINGKATAN KEUPAYAAN SISTEM TALIAN INTERNET PROTOCOL VIRTUAL PRIVATE NETWORK (VPN) DAN PERALATAN INTELLIGENT BANDWITH MANAGEMENT SYSTEM (IBMS) SECARA PERKHIDMATAN TERURUS (MANAGED SERVICES) UNTUK TEMPOH 3 TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),TELEKOM MALAYSIA BERHAD,79000000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",10/05/2013
PERMOHONAN KELULUSAN SECARA RUNDINGAN TERUS BAGI THE SENIOR EXECUTIVE PROGRAMME OLEH ASIAN INSTITUTE OF MANAGEMENT (MIA) PHILIPHINES,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN AUDIT NEGARA,ASIAN INSTITUTE OF MANAGEMENT,200000.00,"Kepakaran, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",09/05/2013
"PERMOHONAN KELULUSAN KHAS UNTUK CADANGAN PENAMBAHAN SKOP PERKHIDMATAN PENYELENGGARAAN BAGI SERVER, SISTEM PENGOPERASIAN, SISTEM APLIKASI & RANGKAIAN DI INSTITUSI PENILAIAN NEGARA (INSPEN)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN PENILAIAN DAN PERKHIDMATAN HARTA (JPPH),NEW CORE SDN. BHD.,103500.00,Penyeragaman,07/05/2013
PERMOHONAN PEROLEHAN PROJEK PEMBANGUNAN SISTEM E-KEWANGAN FASA 2 DI LEMBAGA HASIL DALAM NEGERI MALAYSIA,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,836000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",25/04/2013
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI 2 PERALATAN PERUBATAN:-
I.  ALAT MAGNETIK RESONANCE IMAGING SYSTEM 1.5 TESLA (WIDE BORE PREMIUM) JENAMA PHILIPS INGENIA 1.5T; DAN
II.   ALAT COMPUTED TOMOGRAPHY SUITE AND ASSOCIATED WORKS (MAIN CT SCAN) JENAMA PHILIPS BRILLIANCE ICT SP

UNTUK KEGUNAAN JABATAN PENGIMEJAN DIAGNOSTIK, HOSPITAL KUALA LUMPUR DENGAN SYARIKAT ADVANCE ALTIMAS SDN BHD.",BEKALAN,KEMENTERIAN KESIHATAN,HOSPITAL KUALA LUMPUR,ADVANCE ALTIMAS SDN.BHD.,13496080.00,"Keperluan Mendesak, Kepakaran",24/04/2013
PERMOHONAN KELULUSAN PEROLEHAN PEMBANGUNAN SISTEM INTEGRATED HUMAN RESOURCE (IHRS) OLEH LHDN UNTUK PEMBANGUNAN SELAMA 17 BULAN DAN PERLINDUNGAN PENYELENGGARAAN (COMPREHENSIVE SUPPORT PROGRAM) UNTUK TEMPOH 24 BULAN MULAI SELEPAS TEMPOH WARANTI.,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),MYSYSNET SDN. BHD.,18527000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),19/04/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERLANJUTAN KONTRAK PERKHIDMATAN PAKEJ BERITA MELALUI BERNAMA DAILY NEWS UPDATES BAGI TEMPOH 1 JULAI 2013 HINGGA 30 JUN 2016,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,,PERTUBUHAN BERITA NASIONAL MALAYSIA,420000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),18/04/2013
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN SECARA RUNDINGAN TERUS PEROLEHAN UNTUK PERKHIDMATAN MEMBANGUNKAN MODUL KURSUS SIJIL HUBUNGAN ETNIK,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERPADUAN NEGARA DAN INTEGRASI NASIONAL,INSTITUT KAJIAN ETNIK,106000.00,"Kepakaran, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",15/04/2013
PERMOHONAN PERKHIDMATAN PENYELENGGARAAN PEMBACA PASPORT DI SEMUA PINTU KELUAR/MASUK JABATAN IMIGRESEN MALAYSIA SECARA RUNDINGAN TERUS DENGAN NERS SDN. BHD.,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN DALAM NEGERI,JABATAN IMIGRESEN MALAYSIA,NERS SDN. BHD.,1905000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",10/04/2013
"PERMOHONAN RUNDINGAN TERUS PROJEK PEMBINAAN TANGKI AIR DAN PEMASANGAN PAIP RETIKULASI UNTUK PEMBANGUNAN PERUMAHAN DAN INFRASTRUKTUR DI PLOT A BAGI PENDUDUK YANG TERLIBAT DENGAN PEMBANGUNAN HUB INDUSTRI MINYAK DAN GAS DI PENGERANG, KOTA TINGGI, JOHOR BAGI TEMPOH 18 BULAN",KERJA,KEMENTERIAN KEMAJUAN LUAR BANDAR DAN WILAYAH,LEMBAGA KEMAJUAN JOHOR TENGGARA (KEJORA),RANHILL WATER SERVICES SDN. BHD.,16978831.43,Kepakaran,10/04/2013
PELANTIKAN MALAYSIAN WATER ACADEMY (MYWA) MELALUI RUNDINGAN TERUS SEBAGAI AGENSI PELAKSANA PERSIDANGAN PEMBETUNGAN 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,MALAYSIA WATER ACADEMY,254900.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),03/04/2013
"PERMOHONAN BAGI MEWUJUDKAN KONTRAK PENYIMPANAN (STOCKPILE) PEMBEKALAN DAN PENGHANTARAN VAKSIN SMALLPOX (IMVAMUNE) UNTUK KEGUNAAN PERKHIDMATAN KESIHATAN ANGKATAN TENTERA, KEMENTERIAN PERTAHANAN MALAYSIA SECARA RUNDINGAN TERUS DENGAN SYARIKAT BAVARIAN NORDIC A/S BAGI TEMPOH LIMA (5) TAHUN BERMULA TAHUN 2013 HINGGA 2018",BEKALAN,KEMENTERIAN PERTAHANAN,,BAVARIAN NORDIC A/S,11713768.50,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),03/04/2013
"PERMOHONAN KELULUSAN UNTUK PEROLEHAN SECARA RUNDINGAN TERUS BAGI MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJITERIMA DAN MENTAULIAH PENINGKATAN, PERLUASAN SERTA PENYELENGGARAAN SISTEM PEMBERITAHUAN SECARA SUKARELA HAK CIPTA TERMASUK APLIKASI DAN PERKAKASAN SEDIA ADA DAN BARU",PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",PERBADANAN HARTA INTELEK MALAYSIA,3F RESOURCES SDN. BHD.,1910263.00,"Keperluan Mendesak, Penyeragaman",02/04/2013
MEMOHON KELULUSAN KHAS PENGECUALIAN SEBUTHARGA BAGI MENGADAKAN MAJLIS KONVOKESYEN IKBN KALI KE-9 TAHUN 2013 DI PUSAT KONVENSYEN ANTARABANGSA PUTRAJAYA PADA 6 HINGGA 7 MEI 2013(PEROLEHAN ONE OFF),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN BELIA DAN SUKAN,BAHAGIAN PEMBANGUNAN KEMAHIRAN,PUSAT KONVENSYEN ANTARABANGSA PUTRAJAYA,99435.00,Keperluan Mendesak,28/03/2013
PERMOHONAN PEROLEHAN PERISIAN INTEGRATED DATA EXTRACTION AND AUDITING (IDEA) DAN LATIHAN BERKAITAN BAGI PELAKSANAAN FOKUS AUDIT FAIL PERNIAGAAN DAN SYARIKAT SECARA RUNDINGAN TERUS DENGAN SYARIKAT BUSINESSWARE SOLUTIONS PTE. LTD.,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),"BUSINESSWARE SOLUTIONS PTE. LTD.,",567931.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),28/03/2013
"PERMOHONAN KELULUSAN UNTUK MELANTIK SYARIKAT-SYARIKAT PENGENDALI LATIHAN BAGI MENJALANKAN PROGRAM-PROGRAM LATIHAN DI AKADEMI KEPIMPINAN PENGAJIAN TINGGI (AKEPT), TAHUN 2013 SECARA RUNDINGAN TERUS",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,AKADEMI KEPIMPINAN PENDIDIKAN TINGGI (AKEPT),"KIRKBY INTERNATIONAL COLLEGE SDN. BHD., PEOPLE SYNERGY SDN. BHD., JUDGE BUSINESS SCHOOL, UNIVERSITY OF CAMBRIDGE, LEADERSHIP FOUNDATION FOR HIGHER EDUCATION, CHARLES RIVER CENTRE SDN. BHD., UPM EDUCATION & TRAINING SDN. BHD., DC TRAINING MALAYSIA SDN. BHD.",1195909.07,Kepakaran,27/03/2013
PERMOHONAN PELANJUTAN PEROLEHAN SECARA RUNDINGAN TERUS PEMBELIAN RUANG MEDIA DENGAN THE NEW STRAITS TIMES PRESS (M) BERHAD BAGI TEMPOH 1 JANUARI 2013 HINGGA 31 DISEMBER 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,,THE NEW STRAITS TIMES PROPERTIES SDN BHD,2390000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),26/03/2013
